Date,Open,High,Low,Close,Adj Close,Volume
2019-12-06,12156.150391,12166.049805,11990.299805,12024.950195,12024.950195,13386400
2019-12-09,12041.250000,12082.250000,11987.299805,12033.299805,12033.299805,11153200
2019-12-10,12046.400391,12049.349609,11935.000000,11945.799805,11945.799805,12223500
2019-12-11,11957.750000,12013.299805,11918.950195,11999.950195,11999.950195,14151800
2019-12-12,12037.950195,12099.049805,12026.400391,12065.849609,12065.849609,10618000
2019-12-13,12120.150391,12194.599609,12118.250000,12182.700195,12182.700195,11316100
2019-12-16,12222.849609,12226.000000,12137.400391,12144.849609,12144.849609,7735300
2019-12-17,12173.400391,12266.150391,12160.900391,12248.950195,12248.950195,9725600
2019-12-18,12280.049805,12319.200195,12240.750000,12304.250000,12304.250000,10296800
2019-12-19,12306.700195,12352.650391,12280.349609,12343.849609,12343.849609,10072300
2019-12-20,12351.900391,12378.799805,12340.049805,12363.400391,12363.400391,12032900
2019-12-23,12330.349609,12381.400391,12304.400391,12354.950195,12354.950195,9020800
2019-12-24,12362.250000,12375.000000,12300.299805,12312.099609,12312.099609,7256600
2019-12-26,12311.250000,12319.549805,12221.650391,12229.150391,12229.150391,8657300
2019-12-27,12273.950195,12355.650391,12259.349609,12344.599609,12344.599609,7111800
2019-12-30,12373.049805,12387.299805,12313.099609,12354.250000,12354.250000,7107800
2019-12-31,12347.250000,12347.250000,12252.549805,12267.750000,12267.750000,7537800
2020-01-01,12299.849609,12320.750000,12263.200195,12279.049805,12279.049805,4462500
2020-01-02,12294.950195,12387.650391,12292.200195,12380.500000,12380.500000,6457800
2020-01-03,12359.700195,12368.599609,12292.400391,12328.599609,12328.599609,6716700
2020-01-06,12270.250000,12278.250000,12070.750000,12090.599609,12090.599609,6527600
2020-01-07,12174.650391,12255.750000,12106.299805,12154.950195,12154.950195,7360500
2020-01-08,12034.400391,12145.000000,12026.799805,12131.450195,12131.450195,9489600
2020-01-09,12259.549805,12328.250000,12241.750000,12319.700195,12319.700195,10534000
2020-01-10,12372.000000,12412.950195,12316.599609,12359.700195,12359.700195,9394800
2020-01-13,12401.150391,12442.549805,12391.500000,12436.450195,12436.450195,7836600
2020-01-14,12442.599609,12480.450195,12417.700195,12468.549805,12468.549805,8384000
2020-01-15,12458.299805,12470.349609,12392.549805,12458.849609,12458.849609,9749700
2020-01-16,12468.599609,12506.400391,12431.500000,12470.599609,12470.599609,7327100
2020-01-17,12445.750000,12500.950195,12439.150391,12471.150391,12471.150391,17092900
2020-01-20,12544.400391,12544.400391,12335.099609,12343.200195,12343.200195,10637500
2020-01-21,12314.450195,12349.400391,12279.500000,12287.250000,12287.250000,12564900
2020-01-22,12335.099609,12341.099609,12213.650391,12230.849609,12230.849609,10800
2020-01-23,12248.200195,12321.400391,12220.700195,12312.900391,12312.900391,16992500
2020-01-24,12307.250000,12410.799805,12282.700195,12386.950195,12386.950195,9372400
2020-01-27,12336.750000,12363.150391,12249.450195,12262.650391,12262.650391,7503000
2020-01-28,12292.400391,12311.000000,12175.799805,12203.200195,12203.200195,9129900
2020-01-29,12262.750000,12312.599609,12251.299805,12276.950195,12276.950195,8638600
2020-01-30,12295.099609,12297.299805,12144.250000,12165.400391,12165.400391,9645000
2020-01-31,12228.950195,12232.500000,12071.000000,12086.900391,12086.900391,11479000
2020-02-03,11736.599609,11864.299805,11719.250000,11820.299805,11820.299805,10318300
2020-02-04,11900.049805,12099.349609,11898.900391,12091.000000,12091.000000,9029600
2020-02-05,12121.049805,12219.950195,12071.900391,12212.000000,12212.000000,10961100
2020-02-06,12243.950195,12295.200195,12211.599609,12273.700195,12273.700195,10135600
2020-02-07,12286.849609,12290.150391,12223.700195,12249.250000,12249.250000,8399800
2020-02-10,12253.950195,12254.950195,12144.049805,12185.349609,12185.349609,8278500
2020-02-11,12260.200195,12317.700195,12237.799805,12246.200195,12246.200195,8266400
2020-02-12,12288.150391,12362.000000,12282.200195,12327.700195,12327.700195,9317200
2020-02-13,12342.250000,12347.099609,12266.250000,12301.750000,12301.750000,7942100
2020-02-14,12314.250000,12369.400391,12210.049805,12230.450195,12230.450195,22140600
2020-02-17,12247.200195,12271.700195,12143.500000,12152.000000,12152.000000,0
2020-02-18,12133.599609,12134.450195,12009.549805,12098.900391,12098.900391,15241200
2020-02-19,12197.900391,12256.200195,12155.250000,12248.200195,12248.200195,17176500
2020-02-20,12242.250000,12288.900391,12202.750000,12211.299805,12211.299805,17242600
2020-02-24,12140.450195,12140.450195,11939.549805,11957.000000,11957.000000,13946100
2020-02-25,12007.299805,12018.450195,11900.599609,11917.299805,11917.299805,12778400
2020-02-26,11859.099609,11902.150391,11756.650391,11790.099609,11790.099609,11037100
2020-02-27,11773.950195,11776.099609,11646.049805,11746.849609,11746.849609,12434900
2020-02-28,11495.599609,11497.900391,11288.400391,11316.299805,11316.299805,15459600
2020-03-02,11500.849609,11560.150391,11153.650391,11251.549805,11251.549805,12491400
2020-03-03,11337.450195,11471.099609,11279.549805,11430.849609,11430.849609,12790000
2020-03-04,11481.549805,11485.500000,11205.950195,11372.849609,11372.849609,12745300
2020-03-05,11430.099609,11515.549805,11371.500000,11397.900391,11397.900391,19540400
2020-03-06,11061.849609,11163.000000,10957.400391,11119.650391,11119.650391,23935700
2020-03-09,10877.500000,10886.299805,10442.150391,10583.049805,10583.049805,25474600
2020-03-11,10476.650391,10673.250000,10475.099609,10578.000000,10578.000000,22265800
2020-03-12,10160.049805,10160.750000,9614.549805,9693.950195,9693.950195,25312200
2020-03-13,9177.299805,10248.000000,8642.200195,10050.250000,10050.250000,32106900
2020-03-16,9684.799805,9728.099609,9281.750000,9316.950195,9316.950195,25099600
2020-03-17,9395.099609,9531.950195,9056.349609,9105.400391,9105.400391,19167300
2020-03-18,9228.799805,9265.299805,8552.250000,8607.950195,8607.950195,41132400
2020-03-19,8198.200195,8703.849609,7964.399902,8388.700195,8388.700195,19648400
2020-03-20,8417.549805,8995.349609,8305.000000,8852.049805,8852.049805,20040800
2020-03-23,8057.350098,8272.349609,7694.200195,7719.100098,7719.100098,12283400
2020-03-24,7942.250000,8133.899902,7624.850098,7897.399902,7897.399902,13175900
2020-03-25,7827.500000,8442.799805,7815.000000,8388.200195,8388.200195,11569400
2020-03-26,8523.099609,8832.250000,8382.849609,8732.099609,8732.099609,14235800
2020-03-27,9032.450195,9135.849609,8614.349609,8747.049805,8747.049805,13094800
2020-03-30,8487.150391,8683.150391,8368.799805,8405.299805,8405.299805,8925900
2020-03-31,8652.650391,8805.950195,8483.400391,8731.150391,8731.150391,11070400
2020-04-01,8722.099609,8725.700195,8351.750000,8404.150391,8404.150391,9097700
2020-04-03,8497.750000,8497.750000,8213.250000,8240.200195,8240.200195,11352200
2020-04-07,8595.700195,8958.950195,8508.150391,8934.599609,8934.599609,12782400
2020-04-08,8842.599609,9288.349609,8806.849609,8921.299805,8921.299805,14508300
2020-04-09,9144.099609,9300.049805,9088.000000,9282.849609,9282.849609,11876600
2020-04-13,9276.200195,9282.950195,9080.200195,9177.700195,9177.700195,17382500
2020-04-15,9366.099609,9449.349609,9072.900391,9128.250000,9128.250000,19553300
2020-04-16,9057.549805,9258.049805,9020.549805,9197.099609,9197.099609,14697600
2020-04-17,9523.150391,9523.599609,9283.549805,9453.500000,9453.500000,16825200
2020-04-20,9573.750000,9574.200195,9416.849609,9442.599609,9442.599609,13846400
2020-04-21,9202.900391,9237.400391,9107.900391,9175.650391,9175.650391,12297300
2020-04-22,9215.549805,9388.299805,9130.849609,9372.299805,9372.299805,14735900
2020-04-23,9419.000000,9521.549805,9365.599609,9486.700195,9486.700195,15979200
2020-04-24,9340.799805,9463.450195,9312.150391,9323.700195,9323.700195,12322300
2020-04-27,9427.750000,9544.200195,9419.200195,9462.150391,9462.150391,10229200
2020-04-28,9570.599609,9582.400391,9434.150391,9545.049805,9545.049805,11672900
2020-04-29,9576.750000,9754.150391,9561.500000,9710.700195,9710.700195,13833300
2020-04-30,9906.049805,10031.950195,9883.549805,10006.900391,10006.900391,16438000
2020-05-04,9682.650391,9683.250000,9430.349609,9454.049805,9454.049805,14240600
2020-05-05,9591.700195,9615.799805,9344.549805,9358.900391,9358.900391,12200000
2020-05-06,9379.349609,9489.250000,9266.099609,9428.549805,9428.549805,14553900
2020-05-07,9394.250000,9437.799805,9335.500000,9351.450195,9351.450195,10767100
2020-05-08,9522.650391,9528.349609,9395.450195,9408.650391,9408.650391,0
2020-05-11,9505.950195,9596.799805,9393.450195,9411.700195,9411.700195,19170000
2020-05-12,9343.599609,9415.049805,9218.450195,9372.250000,9372.250000,16488200
2020-05-13,9752.349609,9752.450195,9518.799805,9552.650391,9552.650391,17100700
